"mod","peel","year","SSB","SSB_stdev"
"EBS_pcod","-1",1975,1324190,NA
"EBS_pcod","-1",1976,323427,NA
"EBS_pcod","-1",1977,168855,47891.9
"EBS_pcod","-1",1978,172617,47582.7
"EBS_pcod","-1",1979,173795,45088.1
"EBS_pcod","-1",1980,213780,46368.3
"EBS_pcod","-1",1981,316369,51395.4
"EBS_pcod","-1",1982,498740,63372
"EBS_pcod","-1",1983,673889,71903.4
"EBS_pcod","-1",1984,689074,64750.3
"EBS_pcod","-1",1985,781017,69482.2
"EBS_pcod","-1",1986,772141,64986
"EBS_pcod","-1",1987,759973,58324.4
"EBS_pcod","-1",1988,812758,56990.8
"EBS_pcod","-1",1989,794118,52023
"EBS_pcod","-1",1990,718320,43767
"EBS_pcod","-1",1991,579421,34369.8
"EBS_pcod","-1",1992,424794,28481.6
"EBS_pcod","-1",1993,403843,28650.3
"EBS_pcod","-1",1994,408765,25824.4
"EBS_pcod","-1",1995,430236,25816.8
"EBS_pcod","-1",1996,416774,25848.2
"EBS_pcod","-1",1997,399364,25018.1
"EBS_pcod","-1",1998,348849,24354.1
"EBS_pcod","-1",1999,336197,25257.4
"EBS_pcod","-1",2000,355691,27385.7
"EBS_pcod","-1",2001,378325,27494.7
"EBS_pcod","-1",2002,412657,27685.8
"EBS_pcod","-1",2003,427072,27271.9
"EBS_pcod","-1",2004,437462,26178.8
"EBS_pcod","-1",2005,429111,24886.6
"EBS_pcod","-1",2006,380146,22590.6
"EBS_pcod","-1",2007,332325,21100.9
"EBS_pcod","-1",2008,287394,18988
"EBS_pcod","-1",2009,260897,18597.9
"EBS_pcod","-1",2010,259115,18802.1
"EBS_pcod","-1",2011,315709,20462.9
"EBS_pcod","-1",2012,368629,22919.5
"EBS_pcod","-1",2013,411902,25970.4
"EBS_pcod","-1",2014,415752,28419
"EBS_pcod","-1",2015,423449,31725.8
"EBS_pcod","-1",2016,482529,38089.7
"EBS_pcod","-1",2017,552783,46286.5
"EBS_pcod","-1",2018,593969,52863.6
"EBS_pcod","-10",1975,1146520,NA
"EBS_pcod","-10",1976,342259,NA
"EBS_pcod","-10",1977,193865,62716.4
"EBS_pcod","-10",1978,203807,63863.8
"EBS_pcod","-10",1979,211615,63111.3
"EBS_pcod","-10",1980,266896,67588.9
"EBS_pcod","-10",1981,414483,80678.5
"EBS_pcod","-10",1982,661787,105111
"EBS_pcod","-10",1983,875598,119494
"EBS_pcod","-10",1984,868659,105386
"EBS_pcod","-10",1985,960487,109403
"EBS_pcod","-10",1986,931775,99723.6
"EBS_pcod","-10",1987,898997,88201.2
"EBS_pcod","-10",1988,946494,85555.1
"EBS_pcod","-10",1989,913127,77788.2
"EBS_pcod","-10",1990,807732,64462.4
"EBS_pcod","-10",1991,634963,49330.2
"EBS_pcod","-10",1992,461513,40057.8
"EBS_pcod","-10",1993,442834,40761.3
"EBS_pcod","-10",1994,449797,37993
"EBS_pcod","-10",1995,476138,39302.4
"EBS_pcod","-10",1996,469760,40836
"EBS_pcod","-10",1997,452773,40414
"EBS_pcod","-10",1998,398640,39512.3
"EBS_pcod","-10",1999,383532,40585
"EBS_pcod","-10",2000,406754,44002.8
"EBS_pcod","-10",2001,430276,44365.2
"EBS_pcod","-10",2002,461895,44687.8
"EBS_pcod","-10",2003,473738,44452.5
"EBS_pcod","-10",2004,480634,43693.4
"EBS_pcod","-10",2005,463492,42666.5
"EBS_pcod","-10",2006,401883,39766.2
"EBS_pcod","-10",2007,341650,38172.4
"EBS_pcod","-10",2008,283111,35273.8
"EBS_pcod","-10",2009,243296,35252.8
"EBS_pcod","-2",1975,1328740,NA
"EBS_pcod","-2",1976,346240,NA
"EBS_pcod","-2",1977,183466,52396.8
"EBS_pcod","-2",1978,188628,52262.1
"EBS_pcod","-2",1979,190977,49891.4
"EBS_pcod","-2",1980,234416,51533.1
"EBS_pcod","-2",1981,347061,57585.8
"EBS_pcod","-2",1982,545977,71423.8
"EBS_pcod","-2",1983,733144,80929.1
"EBS_pcod","-2",1984,744271,72511.5
"EBS_pcod","-2",1985,839112,77191.2
"EBS_pcod","-2",1986,825229,71655.7
"EBS_pcod","-2",1987,807481,64015.8
"EBS_pcod","-2",1988,859694,62431.1
"EBS_pcod","-2",1989,837855,57000.1
"EBS_pcod","-2",1990,754360,47890.8
"EBS_pcod","-2",1991,605185,37456.2
"EBS_pcod","-2",1992,443552,30891.5
"EBS_pcod","-2",1993,422495,31100.7
"EBS_pcod","-2",1994,426999,28243.2
"EBS_pcod","-2",1995,449646,28505.4
"EBS_pcod","-2",1996,437408,28835.9
"EBS_pcod","-2",1997,420654,28149.8
"EBS_pcod","-2",1998,369518,27513.5
"EBS_pcod","-2",1999,356646,28458.2
"EBS_pcod","-2",2000,377662,30766.9
"EBS_pcod","-2",2001,401073,30845.9
"EBS_pcod","-2",2002,435456,30989.3
"EBS_pcod","-2",2003,449401,30461.3
"EBS_pcod","-2",2004,459291,29249.7
"EBS_pcod","-2",2005,449509,27851.8
"EBS_pcod","-2",2006,397391,25260.1
"EBS_pcod","-2",2007,347033,23532.4
"EBS_pcod","-2",2008,299269,21090.4
"EBS_pcod","-2",2009,271250,20576.4
"EBS_pcod","-2",2010,269542,20822.2
"EBS_pcod","-2",2011,328501,22845.6
"EBS_pcod","-2",2012,385375,25893.6
"EBS_pcod","-2",2013,432634,29609.7
"EBS_pcod","-2",2014,438124,32462.3
"EBS_pcod","-2",2015,448163,36212.3
"EBS_pcod","-2",2016,508894,43316.7
"EBS_pcod","-2",2017,573489,52132.1
"EBS_pcod","-3",1975,1341970,NA
"EBS_pcod","-3",1976,344482,NA
"EBS_pcod","-3",1977,181485,51837.2
"EBS_pcod","-3",1978,186482,51655.4
"EBS_pcod","-3",1979,188864,49229.6
"EBS_pcod","-3",1980,232209,50806.7
"EBS_pcod","-3",1981,343415,56645.1
"EBS_pcod","-3",1982,539195,69972.6
"EBS_pcod","-3",1983,723362,79052.5
"EBS_pcod","-3",1984,734415,70729.4
"EBS_pcod","-3",1985,828319,75294.6
"EBS_pcod","-3",1986,815197,69906.8
"EBS_pcod","-3",1987,798162,62407.2
"EBS_pcod","-3",1988,849791,60743.5
"EBS_pcod","-3",1989,827544,55302.7
"EBS_pcod","-3",1990,744952,46381.3
"EBS_pcod","-3",1991,598005,36285.5
"EBS_pcod","-3",1992,438283,29970.7
"EBS_pcod","-3",1993,417131,30147.7
"EBS_pcod","-3",1994,421377,27271.2
"EBS_pcod","-3",1995,443339,27406.7
"EBS_pcod","-3",1996,430728,27630.8
"EBS_pcod","-3",1997,413397,26869.1
"EBS_pcod","-3",1998,362577,26211.8
"EBS_pcod","-3",1999,349998,27130.8
"EBS_pcod","-3",2000,370619,29338.7
"EBS_pcod","-3",2001,393569,29384.2
"EBS_pcod","-3",2002,427684,29505.7
"EBS_pcod","-3",2003,441543,29007.3
"EBS_pcod","-3",2004,451174,27828.6
"EBS_pcod","-3",2005,441323,26436.8
"EBS_pcod","-3",2006,389919,23956.3
"EBS_pcod","-3",2007,339955,22313.9
"EBS_pcod","-3",2008,292752,20012.3
"EBS_pcod","-3",2009,264724,19545.7
"EBS_pcod","-3",2010,262445,19779
"EBS_pcod","-3",2011,319890,21714.8
"EBS_pcod","-3",2012,375413,24804.7
"EBS_pcod","-3",2013,421083,28805.9
"EBS_pcod","-3",2014,425790,32354.8
"EBS_pcod","-3",2015,434469,37212
"EBS_pcod","-3",2016,494706,45844.7
"EBS_pcod","-4",1975,1340160,NA
"EBS_pcod","-4",1976,351669,NA
"EBS_pcod","-4",1977,186134,53080
"EBS_pcod","-4",1978,191623,53006.7
"EBS_pcod","-4",1979,194349,50680.8
"EBS_pcod","-4",1980,238981,52459.2
"EBS_pcod","-4",1981,353781,58744.3
"EBS_pcod","-4",1982,554494,72705.8
"EBS_pcod","-4",1983,740936,81967.4
"EBS_pcod","-4",1984,749318,73093.1
"EBS_pcod","-4",1985,843037,77540.6
"EBS_pcod","-4",1986,828108,71787.4
"EBS_pcod","-4",1987,808998,63946.7
"EBS_pcod","-4",1988,859728,62129.8
"EBS_pcod","-4",1989,835643,56464.4
"EBS_pcod","-4",1990,750416,47253.8
"EBS_pcod","-4",1991,601133,36899.1
"EBS_pcod","-4",1992,440421,30450.3
"EBS_pcod","-4",1993,419354,30641
"EBS_pcod","-4",1994,423310,27748.2
"EBS_pcod","-4",1995,445206,27929.9
"EBS_pcod","-4",1996,433024,28223.2
"EBS_pcod","-4",1997,415622,27466.2
"EBS_pcod","-4",1998,364846,26794.3
"EBS_pcod","-4",1999,352467,27719.9
"EBS_pcod","-4",2000,373569,29967.9
"EBS_pcod","-4",2001,396501,29991.3
"EBS_pcod","-4",2002,430346,30086.3
"EBS_pcod","-4",2003,444109,29577.5
"EBS_pcod","-4",2004,453521,28387.9
"EBS_pcod","-4",2005,443192,26970.4
"EBS_pcod","-4",2006,391344,24439.1
"EBS_pcod","-4",2007,340931,22758.7
"EBS_pcod","-4",2008,293115,20414.5
"EBS_pcod","-4",2009,264648,19964.3
"EBS_pcod","-4",2010,262090,20286.3
"EBS_pcod","-4",2011,318735,22482.8
"EBS_pcod","-4",2012,372819,26101.5
"EBS_pcod","-4",2013,414832,30877.6
"EBS_pcod","-4",2014,413280,35164.7
"EBS_pcod","-4",2015,411336,40563.9
"EBS_pcod","-5",1975,1365410,NA
"EBS_pcod","-5",1976,370572,NA
"EBS_pcod","-5",1977,197627,56706.4
"EBS_pcod","-5",1978,204258,56772.5
"EBS_pcod","-5",1979,207882,54544.2
"EBS_pcod","-5",1980,255243,56666.1
"EBS_pcod","-5",1981,377381,63880.5
"EBS_pcod","-5",1982,589112,79334.8
"EBS_pcod","-5",1983,782347,89256.5
"EBS_pcod","-5",1984,786357,79266
"EBS_pcod","-5",1985,881048,83616.1
"EBS_pcod","-5",1986,862630,77064.4
"EBS_pcod","-5",1987,839663,68487.4
"EBS_pcod","-5",1988,889775,66468.2
"EBS_pcod","-5",1989,863121,60413.3
"EBS_pcod","-5",1990,772407,50496.8
"EBS_pcod","-5",1991,616545,39298.4
"EBS_pcod","-5",1992,451974,32327.8
"EBS_pcod","-5",1993,431489,32608.9
"EBS_pcod","-5",1994,435282,29714.3
"EBS_pcod","-5",1995,457911,30092.4
"EBS_pcod","-5",1996,446698,30598.9
"EBS_pcod","-5",1997,429279,29900.1
"EBS_pcod","-5",1998,377910,29177.5
"EBS_pcod","-5",1999,365503,30104.6
"EBS_pcod","-5",2000,387825,32513.1
"EBS_pcod","-5",2001,411174,32558.2
"EBS_pcod","-5",2002,445005,32652.3
"EBS_pcod","-5",2003,458639,32125.2
"EBS_pcod","-5",2004,467756,30921.2
"EBS_pcod","-5",2005,456448,29442.2
"EBS_pcod","-5",2006,402778,26704.3
"EBS_pcod","-5",2007,351007,24884.3
"EBS_pcod","-5",2008,301626,22348
"EBS_pcod","-5",2009,272821,21937.8
"EBS_pcod","-5",2010,271252,22554.4
"EBS_pcod","-5",2011,329878,25514
"EBS_pcod","-5",2012,385770,30378.8
"EBS_pcod","-5",2013,426606,36579.6
"EBS_pcod","-5",2014,417037,41409.3
"EBS_pcod","-6",1975,1223710,NA
"EBS_pcod","-6",1976,344818,NA
"EBS_pcod","-6",1977,187954,55981.5
"EBS_pcod","-6",1978,195531,56239
"EBS_pcod","-6",1979,201065,54394.9
"EBS_pcod","-6",1980,250158,56951.6
"EBS_pcod","-6",1981,375336,64860.3
"EBS_pcod","-6",1982,590810,81228.4
"EBS_pcod","-6",1983,786871,91722.8
"EBS_pcod","-6",1984,791554,81543.4
"EBS_pcod","-6",1985,886299,85938.3
"EBS_pcod","-6",1986,867527,79143.3
"EBS_pcod","-6",1987,844306,70321.7
"EBS_pcod","-6",1988,894409,68261.9
"EBS_pcod","-6",1989,867305,62054.4
"EBS_pcod","-6",1990,775351,51809.8
"EBS_pcod","-6",1991,617879,40220
"EBS_pcod","-6",1992,452336,32995.5
"EBS_pcod","-6",1993,431908,33267.3
"EBS_pcod","-6",1994,436120,30369.8
"EBS_pcod","-6",1995,459001,30811.7
"EBS_pcod","-6",1996,447998,31388.1
"EBS_pcod","-6",1997,430452,30722.6
"EBS_pcod","-6",1998,378811,30007.2
"EBS_pcod","-6",1999,366099,30962
"EBS_pcod","-6",2000,388394,33467.4
"EBS_pcod","-6",2001,411973,33557.6
"EBS_pcod","-6",2002,445959,33670.8
"EBS_pcod","-6",2003,459817,33130.9
"EBS_pcod","-6",2004,469123,31899
"EBS_pcod","-6",2005,457492,30396.4
"EBS_pcod","-6",2006,403183,27583.8
"EBS_pcod","-6",2007,350753,25728.2
"EBS_pcod","-6",2008,300895,23155.3
"EBS_pcod","-6",2009,271859,22827.9
"EBS_pcod","-6",2010,270306,23679.9
"EBS_pcod","-6",2011,327729,27131.3
"EBS_pcod","-6",2012,378337,32640.1
"EBS_pcod","-6",2013,407982,39363.4
"EBS_pcod","-7",1975,1219400,NA
"EBS_pcod","-7",1976,338380,NA
"EBS_pcod","-7",1977,185544,56410.6
"EBS_pcod","-7",1978,192849,56811.5
"EBS_pcod","-7",1979,197638,55144.6
"EBS_pcod","-7",1980,245608,57951.5
"EBS_pcod","-7",1981,372727,66770.7
"EBS_pcod","-7",1982,593278,85070.1
"EBS_pcod","-7",1983,794022,96978.6
"EBS_pcod","-7",1984,799302,86517.5
"EBS_pcod","-7",1985,893876,91149.8
"EBS_pcod","-7",1986,873911,83924
"EBS_pcod","-7",1987,849935,74672.6
"EBS_pcod","-7",1988,900612,72748.9
"EBS_pcod","-7",1989,874079,66415.6
"EBS_pcod","-7",1990,780827,55505.7
"EBS_pcod","-7",1991,620482,42959.1
"EBS_pcod","-7",1992,452679,35079.3
"EBS_pcod","-7",1993,432037,35384.8
"EBS_pcod","-7",1994,437158,32524.7
"EBS_pcod","-7",1995,460838,33242.2
"EBS_pcod","-7",1996,450628,34080.3
"EBS_pcod","-7",1997,434093,33615.1
"EBS_pcod","-7",1998,381974,32969.6
"EBS_pcod","-7",1999,368303,34043.8
"EBS_pcod","-7",2000,390750,36886.1
"EBS_pcod","-7",2001,415327,37097.4
"EBS_pcod","-7",2002,449738,37266.2
"EBS_pcod","-7",2003,464360,36661.7
"EBS_pcod","-7",2004,475125,35350.5
"EBS_pcod","-7",2005,464210,33840.4
"EBS_pcod","-7",2006,409519,30780.5
"EBS_pcod","-7",2007,357002,28767.4
"EBS_pcod","-7",2008,307060,25942.6
"EBS_pcod","-7",2009,279063,25660.4
"EBS_pcod","-7",2010,280609,26847.3
"EBS_pcod","-7",2011,341814,31086.7
"EBS_pcod","-7",2012,391229,37546.9
"EBS_pcod","-8",1975,1248090,NA
"EBS_pcod","-8",1976,332649,NA
"EBS_pcod","-8",1977,182462,56508.5
"EBS_pcod","-8",1978,189503,56839
"EBS_pcod","-8",1979,194120,55153.6
"EBS_pcod","-8",1980,241783,57756.7
"EBS_pcod","-8",1981,371087,66294.7
"EBS_pcod","-8",1982,595610,84475.8
"EBS_pcod","-8",1983,798936,96071.9
"EBS_pcod","-8",1984,802600,85303
"EBS_pcod","-8",1985,893964,89383.9
"EBS_pcod","-8",1986,871863,81983
"EBS_pcod","-8",1987,846912,72718.6
"EBS_pcod","-8",1988,897036,70606.6
"EBS_pcod","-8",1989,870244,64221.5
"EBS_pcod","-8",1990,775207,53446.5
"EBS_pcod","-8",1991,612583,41204.4
"EBS_pcod","-8",1992,443823,33616.1
"EBS_pcod","-8",1993,423522,33962.3
"EBS_pcod","-8",1994,431096,31274.5
"EBS_pcod","-8",1995,456132,31999.9
"EBS_pcod","-8",1996,447702,32866.2
"EBS_pcod","-8",1997,431918,32307.6
"EBS_pcod","-8",1998,379399,31534.9
"EBS_pcod","-8",1999,364597,32431.2
"EBS_pcod","-8",2000,386724,35106.2
"EBS_pcod","-8",2001,411593,35328.2
"EBS_pcod","-8",2002,445320,35521.2
"EBS_pcod","-8",2003,459684,35065.4
"EBS_pcod","-8",2004,470659,33926.4
"EBS_pcod","-8",2005,458816,32448.1
"EBS_pcod","-8",2006,402736,29515.5
"EBS_pcod","-8",2007,348525,27628.1
"EBS_pcod","-8",2008,297261,25027.2
"EBS_pcod","-8",2009,267482,24982.3
"EBS_pcod","-8",2010,267214,26522.4
"EBS_pcod","-8",2011,320252,30809.4
"EBS_pcod","-9",1975,1164450,NA
"EBS_pcod","-9",1976,331145,NA
"EBS_pcod","-9",1977,185402,58854.9
"EBS_pcod","-9",1978,193940,59539.3
"EBS_pcod","-9",1979,200214,58279.4
"EBS_pcod","-9",1980,251536,61534
"EBS_pcod","-9",1981,390596,71588.8
"EBS_pcod","-9",1982,627286,91944
"EBS_pcod","-9",1983,836072,104340
"EBS_pcod","-9",1984,834005,92160.1
"EBS_pcod","-9",1985,924552,96000.5
"EBS_pcod","-9",1986,898995,87690.8
"EBS_pcod","-9",1987,870291,77607.2
"EBS_pcod","-9",1988,919192,75272.2
"EBS_pcod","-9",1989,889302,68421.2
"EBS_pcod","-9",1990,788974,56816.4
"EBS_pcod","-9",1991,621139,43661.6
"EBS_pcod","-9",1992,450175,35557.7
"EBS_pcod","-9",1993,430968,36043.2
"EBS_pcod","-9",1994,438763,33396.9
"EBS_pcod","-9",1995,464569,34375
"EBS_pcod","-9",1996,457515,35515.2
"EBS_pcod","-9",1997,441383,35021
"EBS_pcod","-9",1998,388062,34190.2
"EBS_pcod","-9",1999,372978,35103.6
"EBS_pcod","-9",2000,395778,37970
"EBS_pcod","-9",2001,420160,38160.1
"EBS_pcod","-9",2002,452758,38289.9
"EBS_pcod","-9",2003,466069,37780.7
"EBS_pcod","-9",2004,475407,36636.3
"EBS_pcod","-9",2005,461067,35184.3
"EBS_pcod","-9",2006,402442,32189.4
"EBS_pcod","-9",2007,345744,30370.2
"EBS_pcod","-9",2008,291777,27762.9
"EBS_pcod","-9",2009,258531,27883.1
"EBS_pcod","-9",2010,253347,29465
"EBS_pcod","0",1975,1343280,NA
"EBS_pcod","0",1976,346632,NA
"EBS_pcod","0",1977,182015,50738.9
"EBS_pcod","0",1978,186873,50499.5
"EBS_pcod","0",1979,188754,48002.9
"EBS_pcod","0",1980,230896,49426.6
"EBS_pcod","0",1981,337973,54915.9
"EBS_pcod","0",1982,527259,67695.3
"EBS_pcod","0",1983,707374,76652.6
"EBS_pcod","0",1984,720123,68900.3
"EBS_pcod","0",1985,815125,73768.4
"EBS_pcod","0",1986,804448,68844.7
"EBS_pcod","0",1987,789519,61735.6
"EBS_pcod","0",1988,842468,60366.1
"EBS_pcod","0",1989,822527,55219.9
"EBS_pcod","0",1990,743288,46529.6
"EBS_pcod","0",1991,599467,36542.7
"EBS_pcod","0",1992,441376,30255.8
"EBS_pcod","0",1993,420962,30476.6
"EBS_pcod","0",1994,424945,27576.5
"EBS_pcod","0",1995,446954,27697
"EBS_pcod","0",1996,433576,27856.3
"EBS_pcod","0",1997,416060,27098
"EBS_pcod","0",1998,364957,26470.7
"EBS_pcod","0",1999,352596,27436.7
"EBS_pcod","0",2000,373291,29688.3
"EBS_pcod","0",2001,396109,29755.3
"EBS_pcod","0",2002,430640,29908.5
"EBS_pcod","0",2003,444675,29412.8
"EBS_pcod","0",2004,454303,28241.4
"EBS_pcod","0",2005,445161,26912.9
"EBS_pcod","0",2006,394578,24470.9
"EBS_pcod","0",2007,345819,22873.7
"EBS_pcod","0",2008,299623,20572.3
"EBS_pcod","0",2009,272924,20137.9
"EBS_pcod","0",2010,271488,20398.7
"EBS_pcod","0",2011,329705,22302.9
"EBS_pcod","0",2012,384471,25088.7
"EBS_pcod","0",2013,430407,28484.3
